,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
48,-0.4588,Thu Dec 21 20:45:01 +0000 2017,0.833,0.167,0.0,$25 billion nuclear projects at Georgia's troubled Plant Vogtle to continue despite massive cost overruns:… https://t.co/H7ZweP8fBV,49,@cbsnews
49,0.128,Thu Dec 21 20:30:01 +0000 2017,0.909,0.0,0.091,Rumors are swirling about Raul Castro as Cuba extends his presidential term until April 2018:… https://t.co/Z8xZPxN6YD,50,@cbsnews
50,0.1531,Thu Dec 21 20:15:01 +0000 2017,0.642,0.188,0.17,"Sen. Al Franken, accused of inappropriately touching and forcibly kissing multiple women, is officially resigning J… https://t.co/2mYhkdNeb6",51,@cbsnews
51,0.6041,Thu Dec 21 20:01:24 +0000 2017,0.794,0.0,0.206,You're not crazy. Apple has been intentionally slowing down your older iPhone. But the company says it has good rea… https://t.co/Ywc7fRI6ZL,52,@cbsnews
52,-0.5859,Thu Dec 21 19:40:31 +0000 2017,0.789,0.211,0.0,Fire authorities release a warning video showing how quickly a Christmas tree can go up in flames. Here's how to pr… https://t.co/C3bMJfK6U3,53,@cbsnews
53,0.5106,Thu Dec 21 19:21:06 +0000 2017,0.852,0.0,0.148,"In a strong rebuke of President Trump's decision to move the U.S. embassy to Jerusalem, 128 countries voted to decl… https://t.co/vkugEeZU9C",54,@cbsnews
54,0.7783,Thu Dec 21 18:50:32 +0000 2017,0.698,0.0,0.302,These bears can't get enough of the holidays -- thanks to this fresh batch of snow from their zoo 🐻  🐼  ❄️ https://t.co/FCUq1AR7LR,55,@cbsnews
55,-0.7797,Thu Dec 21 18:30:51 +0000 2017,0.658,0.342,0.0,"""2017, hard unsubscribe —  it's spam, it's marked as junk, I never want to get it again."" From political chaos to n… https://t.co/u6GuB9mh7T",56,@cbsnews
56,-0.3313,Thu Dec 21 18:15:01 +0000 2017,0.715,0.171,0.114,Are poinsettias poisonous? Are snowflakes really pure as the driven snow? What science says about common holiday lo… https://t.co/DZKYdYYNo8,57,@cbsnews
57,0.0,Thu Dec 21 17:59:06 +0000 2017,1.0,0.0,0.0,These are the 8 countries who voted with the U.S. at the U.N. against the resolution condemning the Trump administr… https://t.co/Dam9Tix73Z,58,@cbsnews
58,0.4019,Thu Dec 21 17:50:02 +0000 2017,0.847,0.0,0.153,Report: Ireland approves the construction of a sea wall at the Trump International Golf Links Doonbeg… https://t.co/7yjaLuRMdP,59,@cbsnews
59,0.6597,Thu Dec 21 17:37:21 +0000 2017,0.707,0.0,0.293,WATCH LIVE: Democratic lawmakers hold a rally to support special counsel Robert Mueller's Russia investigation… https://t.co/TuKMw3R1wE,60,@cbsnews
60,-0.5574,Thu Dec 21 17:32:00 +0000 2017,0.816,0.184,0.0,NASCAR legend Richard Childress fired shots at 3 men who attempted to break into his home: https://t.co/Ugl2yj3CCN https://t.co/iRt3mrGth1,61,@cbsnews
61,0.0516,Thu Dec 21 17:21:42 +0000 2017,0.748,0.121,0.131,JUST IN: U.N. General Assembly votes to condemn President Trump's decision on Jerusalem; 128 nations approved resol… https://t.co/UQbliRAflR,62,@cbsnews
62,-0.6369,Thu Dec 21 17:15:01 +0000 2017,0.615,0.279,0.107,The 6-week-old daughter of a woman who was stabbed to death has been found alive in a Houston apartment:… https://t.co/OXHBztWcak,63,@cbsnews
63,0.0,Thu Dec 21 16:54:28 +0000 2017,1.0,0.0,0.0,"WATCH: House Speaker Paul Ryan and Sen. Orrin Hatch sign GOP tax bill in an ""enrollment ceremony,"" following yester… https://t.co/bIuiLh6f4M",64,@cbsnews
64,0.4404,Thu Dec 21 16:51:26 +0000 2017,0.892,0.0,0.108,"""We come to these jobs to try and improve the lives of the people we represent. And this bill -- more than so many… https://t.co/IS0WB9weDm",65,@cbsnews
