,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
40,0.0,Fri Dec 22 00:36:29 +0000 2017,1.0,0.0,0.0,".@AmbJohnBolton on @UN voiding US action on Jerusalem: ""What this was was an act of theology in New York.""… https://t.co/dXEQPNzAy8",41,@FoxNews
41,0.4404,Fri Dec 22 00:31:48 +0000 2017,0.854,0.0,0.146,".@AmbJohnBolton on @UN vote on Jerusalem: ""I think the Trump administration should take satisfaction from the fact… https://t.co/4aPg0Cb3Bx",42,@FoxNews
42,0.7906,Fri Dec 22 00:24:42 +0000 2017,0.5,0.0,0.5,"Georgia nuclear plant wins key approval, after decades-long industry freeze https://t.co/jqpe5diRMl",43,@FoxNews
43,0.128,Fri Dec 22 00:21:29 +0000 2017,0.647,0.158,0.194,BREAKING: Senate approves stopgap spending bill to avoid pre-Christmas shutdown https://t.co/PIgwUntmQJ,44,@FoxNews
44,0.0,Fri Dec 22 00:19:35 +0000 2017,1.0,0.0,0.0,"Congress passes another stopgap spending bill, averting shutdown, @edhenry reports. #TheStory… https://t.co/DKUJY9vo4P",45,@FoxNews
45,0.0,Fri Dec 22 00:12:38 +0000 2017,1.0,0.0,0.0,".@SenateMajLdr on if there will be entitlement reform in 2018: ""Just as soon as Democrats indicate they're willing… https://t.co/UtVEbdeej7",46,@FoxNews
46,-0.4404,Fri Dec 22 00:11:23 +0000 2017,0.794,0.206,0.0,Homeless man who helped South Carolina cop in tough arrest says 'someone's got to stand up' https://t.co/smFfMdbR23,47,@FoxNews
47,-0.2263,Thu Dec 21 23:59:59 +0000 2017,0.826,0.174,0.0,Judge throws out lawsuit against @realDonaldTrump over business ties https://t.co/KlVsB5DxA9,48,@FoxNews
48,-0.2263,Thu Dec 21 23:56:15 +0000 2017,0.64,0.227,0.133,Chicago PD says Facebook was no help in takedown of online gun and drug ring https://t.co/N3Ora9pcvU,49,@FoxNews
49,-0.5574,Thu Dec 21 23:51:24 +0000 2017,0.739,0.261,0.0,".@PressSec: For the 1,000th Time, We Have 'No Intentions' of Firing Bob Mueller https://t.co/fo2SJFUW5V https://t.co/XtriccHo6r",50,@FoxNews
50,0.4404,Thu Dec 21 23:39:00 +0000 2017,0.791,0.0,0.209,"OPINION: The @realDonaldTrump administration became truly historic this week, via @newtgingrich https://t.co/4ZR9QZ4mmp",51,@FoxNews
51,0.0,Thu Dec 21 23:31:05 +0000 2017,1.0,0.0,0.0,Brooklyn dog found in plastic bag with mouth taped shut survives https://t.co/kPQYpkuSZG,52,@FoxNews
52,0.0,Thu Dec 21 23:22:12 +0000 2017,1.0,0.0,0.0,Apple being sued over slowing down older iPhones https://t.co/ccAEkgNttW,53,@FoxNews
53,0.2732,Thu Dec 21 23:05:52 +0000 2017,0.87,0.0,0.13,".@VP Pence, in surprise visit to Afghanistan, says 'victory is closer than ever before' https://t.co/Cv4keUTMAp",54,@FoxNews
54,-0.8225,Thu Dec 21 22:58:57 +0000 2017,0.591,0.409,0.0,"'Kayak killer' sips martinis, eats steak dinner after walking out of prison https://t.co/VlZixr860c",55,@FoxNews
55,0.0,Thu Dec 21 22:54:08 +0000 2017,1.0,0.0,0.0,Ralph Peters: 'Nikki Haley May End Up as Our First Female President' https://t.co/ITVsKJL1gR,56,@FoxNews
56,0.0,Thu Dec 21 22:51:31 +0000 2017,1.0,0.0,0.0,".@kilmeade on Obama's foreign policy: ""I think people looked at the poise and the character of President… https://t.co/qTN4T6GRaS",57,@FoxNews
57,-0.4404,Thu Dec 21 22:46:13 +0000 2017,0.432,0.424,0.144,Inauguration Day protesters acquitted of charges following government lawsuit https://t.co/lwHOFWYLAh,58,@FoxNews
