,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
48,0.5423,Thu Dec 21 21:30:17 +0000 2017,0.673,0.104,0.222,"They met after an accident one winter night 4 years ago. He kept her safe on the icy highway, and won her heart. https://t.co/VNcdn3Wwfd",49,@NyTimes
49,0.0,Thu Dec 21 21:24:14 +0000 2017,1.0,0.0,0.0,"Breaking News: President Trump said ""Obamacare is imploding,"" but signups are nearly at last year's levels, even wi… https://t.co/KATlB6ntoE",50,@NyTimes
50,0.5984,Thu Dec 21 21:15:08 +0000 2017,0.755,0.0,0.245,See a selection of some of the most remarkable photos from 2017 https://t.co/rk5sw9Q8cH https://t.co/9wqQbCdzqV,51,@NyTimes
51,-0.5574,Thu Dec 21 21:00:26 +0000 2017,0.841,0.159,0.0,The Times’s Sports editor explains the selection process for the visuals showing the bodies of climbers who died on… https://t.co/xlKvMHTjs6,52,@NyTimes
52,0.3612,Thu Dec 21 20:45:09 +0000 2017,0.889,0.0,0.111,"The new tax bill delivers a perk to wealthy families who can put money upfront into 529 savings accounts, then with… https://t.co/8DJtrJYTrk",53,@NyTimes
53,0.4019,Thu Dec 21 20:34:58 +0000 2017,0.863,0.0,0.137,"RT @nytimesbusiness: Holiday store-window displays were pure fantasies, untainted by any overtly commercial appeal. They are disappearing a…",54,@NyTimes
54,-0.6124,Thu Dec 21 20:30:16 +0000 2017,0.815,0.185,0.0,"""The problem is my mother. She has always been critical of my looks and has never shied away from telling me that I… https://t.co/Bzz8CjCyCy",55,@NyTimes
55,0.3818,Thu Dec 21 20:23:07 +0000 2017,0.726,0.103,0.171,Big Boi called Combat Jack “one of the brightest guys I’ve ever known” regarding music and black culture https://t.co/je5vhj5t8c,56,@NyTimes
56,0.0,Thu Dec 21 20:15:01 +0000 2017,1.0,0.0,0.0,"""We are on this trajectory of every person for themselves. And the bill leaves a whole heck of a lot of people behi… https://t.co/054rU6fZ6M",57,@NyTimes
57,0.0,Thu Dec 21 20:09:24 +0000 2017,1.0,0.0,0.0,"RT @nytfood: In rural Tasmania, the infirmary of a 19th century mental hospital is now a gleaming restaurant. Our review of the Agrarian Ki…",58,@NyTimes
58,0.1531,Thu Dec 21 20:00:44 +0000 2017,0.926,0.0,0.074,Global warming isn't the only culprit behind the historic floods that overran much of Jakarta in 2007. The city its… https://t.co/at5ZcxxpZ3,59,@NyTimes
59,0.5719,Thu Dec 21 19:45:11 +0000 2017,0.616,0.104,0.28,"“These kids are like gladiators. The dominating, the mind games, the winning. It’s all strategic.” https://t.co/bOevX6i6gd",60,@NyTimes
60,-0.8834,Thu Dec 21 19:37:05 +0000 2017,0.636,0.364,0.0,Firefighters say the majority of those killed in a fire in South Korean city of Jecheon had become trapped in a pub… https://t.co/vwZCrujVvR,61,@NyTimes
61,0.128,Thu Dec 21 19:30:24 +0000 2017,0.582,0.196,0.222,"Hate it or love it, it was the most-streamed track of 2017 https://t.co/Tgxny4pAlG",62,@NyTimes
62,-0.3506,Thu Dec 21 19:15:14 +0000 2017,0.703,0.202,0.095,"The best-known and most-disliked feature of Obamacare, it survived many attacks but finally fell victim to the GOP… https://t.co/xkJn5dxjzn",63,@NyTimes
63,0.6486,Thu Dec 21 19:07:05 +0000 2017,0.71,0.0,0.29,"What is the “generic ballot” and why is it currently giving hope to Democrats?
 https://t.co/zisRJrfFmI",64,@NyTimes
64,-0.6369,Thu Dec 21 19:00:03 +0000 2017,0.776,0.224,0.0,"After they refused to go back, the climbers were eventually abandoned by their guides. Only 1 of the 4 climbers sur… https://t.co/YvOk2jdohI",65,@NyTimes
65,0.2023,Thu Dec 21 18:58:44 +0000 2017,0.917,0.0,0.083,"In May 2016, Lakpa Sherpa said he recommended that his clients, a group of 4 Indian climbers, turn back as they wer… https://t.co/JwH9tPSixe",66,@NyTimes
66,0.0,Thu Dec 21 18:57:26 +0000 2017,1.0,0.0,0.0,"More conventional jobs, in construction or retail, wouldn’t give them the same money for the same amount of work. B… https://t.co/eJsMPJPB9z",67,@NyTimes
67,0.4404,Thu Dec 21 18:56:18 +0000 2017,0.879,0.0,0.121,"However, it paid better than anything else and many of the guides came from remote villages, and there was little w… https://t.co/bKD7I4Jvwd",68,@NyTimes
68,-0.21,Thu Dec 21 18:55:03 +0000 2017,0.726,0.155,0.119,"Most Sherpas don't love working as a guide, carrying the hopes and demands of foreigners — and sometimes the foreig… https://t.co/lsnXdGj68U",69,@NyTimes
69,-0.6597,Thu Dec 21 18:45:04 +0000 2017,0.794,0.206,0.0,"With “Get Out,” @JordanPeele made a nightmare about white evil that doubles as a fairy tale about black unity… https://t.co/RuLeISA1OX",70,@NyTimes
