,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
61,-0.1531,Wed Dec 20 12:30:08 +0000 2017,0.909,0.091,0.0,🎞 There are hundreds of films on TV over Christmas - here are ten you shouldn’t miss. 👉 https://t.co/wE3BoDePUi https://t.co/xGOjSLKQzw,62,@BBC
62,0.7793,Wed Dec 20 12:24:54 +0000 2017,0.736,0.0,0.264,"RT @BBCR1: .@JamesArthur23 joins us in the Live Lounge tomorrow!

Remember when he surprised us with this beautiful @Camila_Cabello duet at…",63,@BBC
63,0.5255,Wed Dec 20 12:00:03 +0000 2017,0.78,0.0,0.22,"How to make your very own super-snowstorm in a jar! 🌨
Via Terrific Scientific. https://t.co/SS62beh5JI",64,@BBC
64,0.5574,Wed Dec 20 11:30:09 +0000 2017,0.783,0.0,0.217,✨🎄 @LarsUlrich from @Metallica reads Julia Donaldson's fantastic Christmas tale 'Stick Man'. 📻… https://t.co/vPzOjVFdMD,65,@BBC
65,0.4199,Wed Dec 20 11:10:42 +0000 2017,0.834,0.0,0.166,"RT @BBCOne: Get ready to ""aww"" at #SnowBears! 😍

Coming to @BBCOne on Boxing Day. https://t.co/0TrZbLFp6l",66,@BBC
66,0.4404,Wed Dec 20 11:08:59 +0000 2017,0.847,0.0,0.153,RT @bbcasiannetwork: A couple in India received Bitcoin as a wedding gift from nearly all their guests https://t.co/RcuCIsetxf https://t.co…,67,@BBC
67,0.0,Wed Dec 20 11:00:06 +0000 2017,1.0,0.0,0.0,🏠🐬 The first resident pod of bottlenose dolphins has been discovered off the south-west coast of England.… https://t.co/TZ7uUxDzY3,68,@BBC
68,0.3818,Wed Dec 20 10:57:59 +0000 2017,0.89,0.0,0.11,"RT @BBCTwo: Can’t wait for the final episode of #PeakyBlinders tonight?

Here’s one last sneak preview of the stunning series finale… 😱 htt…",69,@BBC
69,0.4912,Wed Dec 20 10:42:03 +0000 2017,0.802,0.0,0.198,"RT @mixital: 🎅New #DoctorWho writing challenge! 🎅
Write a story where the Doctor and Father Christmas go on an adventure!
https://t.co/zW42…",70,@BBC
70,0.4767,Wed Dec 20 10:37:03 +0000 2017,0.866,0.0,0.134,"RT @BBC6Music: How will you be spending your Christmas Day? We asked one of our three wise women, Jodie Whittaker. https://t.co/8ZuMJYb619",71,@BBC
71,-0.3612,Wed Dec 20 10:31:03 +0000 2017,0.878,0.122,0.0,"'Six sprouts = ONE portion. Don't overbuy.' 
A council has been ridiculed for telling people how many sprouts to ha… https://t.co/Cx59OHcv3G",72,@BBC
72,0.0,Wed Dec 20 10:03:03 +0000 2017,1.0,0.0,0.0,Birmingham is set to be officially announced as the host of the 2022 Commonwealth Games. 🚴🤸🏑 https://t.co/uUdLw60pvh https://t.co/gHNeZxUgG3,73,@BBC
73,-0.7264,Wed Dec 20 09:00:08 +0000 2017,0.747,0.253,0.0,"💔 Christmas can be a time when relatives who have died are especially missed. 

Six people reveal why they hold cer… https://t.co/Goh7QT14jE",74,@BBC
74,0.0,Wed Dec 20 08:45:03 +0000 2017,1.0,0.0,0.0,80% of plastic in the sea comes from sources on land. How does it end up in the ocean? 🌊🐠🐚 Via @BBCEarth https://t.co/ZaBj6CqhEe,75,@BBC
75,0.0,Wed Dec 20 08:33:32 +0000 2017,1.0,0.0,0.0,"RT @bbc5live: Believe it or not, slime making is the most searched 'How to' on Google this year.

Here's Bella's simple guide of how to mak…",76,@BBC
76,0.4588,Wed Dec 20 08:32:12 +0000 2017,0.875,0.0,0.125,"RT @BBCOne: Dame Judi Dench uncovers the secret life of trees. 🌳

Judi Dench: My Passion for Trees. Wednesday 20th December. 8pm. https://t…",77,@BBC
77,-0.1424,Wed Dec 20 08:32:02 +0000 2017,0.736,0.144,0.12,"RT @bbcmusic: ""Don't take it lying down you got to FIGHT BACK"" 💪
#U2AtTheBBC
-
@U2 At The BBC 👉 https://t.co/DEHdFmNTsj https://t.co/7OxSP4…",78,@BBC
78,0.4926,Wed Dec 20 08:20:03 +0000 2017,0.825,0.0,0.175,Good news! There could be a simple way of enhancing your cognitive abilities... different gut bacteria.… https://t.co/LYoq7VGfxm,79,@BBC
79,0.0,Wed Dec 20 08:02:05 +0000 2017,1.0,0.0,0.0,"Discover the legend of El Dorado. 🌊 🎧 

@BBCRadio4's podcast Living With The Gods is available to download now.… https://t.co/OgGFdmaFYU",80,@BBC
80,0.0,Wed Dec 20 07:38:04 +0000 2017,1.0,0.0,0.0,Were Sartre and De Beauvoir the world’s first modern couple? https://t.co/oyNovIBZ1d https://t.co/6hz4GTOUTc,81,@BBC
81,0.0,Tue Dec 19 19:34:04 +0000 2017,1.0,0.0,0.0,"Tonight, @U2 bring their stadium-filling rock to Abbey Road Studios to perform accompanied by a live orchestra and… https://t.co/e2W8aOmYFk",82,@BBC
82,-0.4215,Tue Dec 19 19:05:04 +0000 2017,0.872,0.128,0.0,"🎄🎬 Struggling to decide what to watch this Christmas?
From #DoctorWho to Travel Man, here are @BBC5Live's picks. 👉… https://t.co/IEJ2qmtein",83,@BBC
83,0.5574,Tue Dec 19 18:30:08 +0000 2017,0.588,0.13,0.282,"Tonight, The Repair Shop at Christmas transforms broken treasures into beautiful gifts. 🎁 7pm on @BBCTwo. ✨… https://t.co/l5ogNLlSCH",84,@BBC
84,0.34,Tue Dec 19 18:03:05 +0000 2017,0.87,0.0,0.13,When Tim Henman and @McInTweet wake you up to play The Midnight Gameshow. 😂 🎾 #MichaelMcIntyresBigShow Via @BBCOne. https://t.co/HSS6QdQhoJ,85,@BBC
85,0.0,Tue Dec 19 17:55:48 +0000 2017,1.0,0.0,0.0,RT @TWBBC: Throwback to the 1990 Tomorrow's World Christmas Quiz  🎁🎄🎅  @JulianClary explores the science of lambing with an understandably…,86,@BBC
86,0.3818,Tue Dec 19 17:31:13 +0000 2017,0.852,0.0,0.148,"🎅🌨🌇 Snow, Santas &amp; stunning cityscapes.
📸 Here are your pictures of Scotland last week. 👉 https://t.co/3KqSFT72uA https://t.co/AJgWYOLkse",87,@BBC
87,-0.5994,Tue Dec 19 17:26:22 +0000 2017,0.86,0.14,0.0,"RT @bbc5live: “He could do so much with his voice and was such a talent”

@Jeff__Benjamin on the death of one of South Korea’s biggest boy…",88,@BBC
88,0.0,Tue Dec 19 17:00:01 +0000 2017,1.0,0.0,0.0,"😂 @HamillHimself remembers a simpler time, when you could master Jedi mind control using just fishing wire &amp; the re… https://t.co/trPqTjFP0u",89,@BBC
89,0.5106,Tue Dec 19 16:06:03 +0000 2017,0.858,0.0,0.142,'The arts are meant to reflect society as it is'. Meet some of the talented performers from our #BBCClassAct traini… https://t.co/SAbIM0EU8y,90,@BBC
90,0.0,Tue Dec 19 15:00:08 +0000 2017,1.0,0.0,0.0,🕎 What is #Hanukkah? 👉 https://t.co/W2iErgCMKP https://t.co/e8NlsEFgSC,91,@BBC
91,0.6369,Tue Dec 19 14:30:08 +0000 2017,0.811,0.0,0.189,"Quiz: Which U2 song are you? Find out which track works best with (or without) you. 👉 https://t.co/iFLarI0FhD

🎸🥁… https://t.co/ZRYSwOr1sd",92,@BBC
92,0.0,Tue Dec 19 14:04:44 +0000 2017,1.0,0.0,0.0,RT @bbcthree: Women have body hair. Get over it. https://t.co/UowxjHIMEB,93,@BBC
93,0.0,Tue Dec 19 14:02:01 +0000 2017,1.0,0.0,0.0,"'Once you do it, you won't look back': @scott_mills explains why he's doing a daily digital detox. #MyMindAndMe 🚫📱… https://t.co/sHJatYi5qF",94,@BBC
94,0.3182,Tue Dec 19 13:55:14 +0000 2017,0.867,0.0,0.133,"RT @BBCSport: Meet the 100-year-old football fan.

Margaret Dodds, we salute you 👏👏👏

Watch: https://t.co/DyY4ZHTDF1 https://t.co/jOJXZEpFxA",95,@BBC
95,0.0,Tue Dec 19 13:33:03 +0000 2017,1.0,0.0,0.0,The Muppet Christmas Carol is turning 25! 🎈🎉🎬 Here are five things you might not know about this unusual take on Di… https://t.co/zlxSMtiTn0,96,@BBC
96,-0.3182,Tue Dec 19 12:59:13 +0000 2017,0.839,0.161,0.0,Meet the US defectors who became film stars in North Korea. https://t.co/pOVvVx6yjZ https://t.co/gyGkDabnyq,97,@BBC
97,0.5466,Tue Dec 19 12:33:03 +0000 2017,0.75,0.055,0.195,A homeless man stood guard by a car in freezing rain for hours to make sure a handbag and money was not stolen. ❤️️… https://t.co/Ih9H9tGhiX,98,@BBC
98,0.4199,Tue Dec 19 12:02:04 +0000 2017,0.811,0.0,0.189,Aha! 😂🎄📺 Here's a look at the comedy coming to @BBCTwo this Christmas. https://t.co/7lWXqh0kUn,99,@BBC
99,0.0,Tue Dec 19 11:50:34 +0000 2017,1.0,0.0,0.0,RT @bbcthree: Kim Kardashian's tweet about lawnmowers has been named stat of the year https://t.co/Iy6EHA6tyC https://t.co/0fWFGZDBcY,100,@BBC
