,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
61,-0.34,Sun Dec 17 14:24:06 +0000 2017,0.848,0.152,0.0,"RT @CNNPolitics: Alabama Sen.-elect Doug Jones says the ""Mueller investigation is gonna shake down the way it's gonna shake down"" #CNNSOTU…",62,@CNNbrk
62,-0.296,Sun Dec 17 14:22:24 +0000 2017,0.814,0.116,0.07,RT @CNNPolitics: Treasury Secretary Steve Mnuchin responds to a report that the CDC was given a list of banned words and says that the Trum…,63,@CNNbrk
63,0.2023,Sun Dec 17 14:15:28 +0000 2017,0.927,0.0,0.073,RT @CNNPolitics: Treasury Secretary Steve Mnuchin on the GOP tax plan: “This is the biggest single change to the tax system in fixing a bro…,64,@CNNbrk
64,-0.9001,Sun Dec 17 09:18:08 +0000 2017,0.485,0.444,0.071,"A suicide bomber attacked a church packed with worshipers Sunday in Pakistan, killing 7 people and injuring more th… https://t.co/bUIfZxeJJa",65,@CNNbrk
65,-0.4019,Sun Dec 17 02:42:07 +0000 2017,0.828,0.172,0.0,"332 cases of gastrointestinal illness reported during a five-night cruise, Royal Caribbean International says.… https://t.co/AInNp4JSpx",66,@CNNbrk
66,-0.5423,Sat Dec 16 22:49:30 +0000 2017,0.811,0.189,0.0,"Rep. Ruben Kihuen, a Nevada Democrat, says he won't seek re-election following allegations of sexual harassment. https://t.co/mxxFlDfX3A",67,@CNNbrk
67,-0.296,Sat Dec 16 16:36:02 +0000 2017,0.885,0.115,0.0,"The Trump administration told CDC officials to stop using 7 words including ""fetus"" and ""evidence-based"" in 2018 bu… https://t.co/lDDtpB6AMD",68,@CNNbrk
68,-0.4588,Sat Dec 16 15:29:44 +0000 2017,0.833,0.167,0.0,"She’s endured controversy and an injury scare this week, but Lindsey Vonn hit back to clinch her 78th World Cup win… https://t.co/P3ocuCuUy0",69,@CNNbrk
69,0.0516,Sat Dec 16 14:11:56 +0000 2017,0.794,0.098,0.107,The next 24 hours will be crucial for firefighters battling a huge blaze in Southern California: They'll face stron… https://t.co/HsRFLSV0Yf,70,@CNNbrk
70,-0.6486,Sat Dec 16 05:15:30 +0000 2017,0.807,0.193,0.0,"Toronto billionaire and philanthropist Barry Sherman and his wife were found dead in their mansion Friday, CNN affi… https://t.co/waPlxXQAgt",71,@CNNbrk
71,-0.6705,Sat Dec 16 02:03:36 +0000 2017,0.732,0.268,0.0,ACLU sues to block the Trump administration from restricting access to abortions for two undocumented immigrants… https://t.co/npTf3hGJrX,72,@CNNbrk
